,restaurant_id,text,overall_rating,food_rating,ambience_rating,service_rating,value_rating,date
0,97620,Great Italian food - a lot of variety in both food and wine. Would definitely recommend for a date night or when out with friends.,5,5.0,5.0,5.0,4.0,2021-07-30
1,97620,"Excellent all round - we were attracted by the buratta menu but they have all sort of genuine Italian dishes. Tasty and good value, friendly service.",5,5.0,4.0,5.0,5.0,2020-01-25
2,97620,Service was amazing! Food was delicious too. A real treat for Sunday lunch,4,4.0,5.0,5.0,4.0,2019-03-17
3,97620,"The different types of mozzarella were amazing; however, the mains did not match at all. The waiter was intrusive, spoke very much and did not take into account when we asked to be speedy, as we were running out of time. After this note, he did not come to our table to take the dessert orders for 15 minutes. As a result, we gave up and ordered no dessert.",2,3.0,4.0,1.0,2.0,2018-03-11
4,97620,I love the buffalo mozzarella options available and service is always great!,5,4.0,3.0,5.0,4.0,2015-12-21
5,203580,This place is fantastic. We walked in for lunch yesterday and staff have welcomed us very warmly. When we looked at the menu we couldn&#039;t make our mind for quite long time as everything looked delicious. In the end I had chicken schnitzel and my partner had prawn dog. It was so nice that we decided to book in for dinner same day. This time sushi and cheeseburger spring rolls for starters and bbq rib and rib eye burgers for mains. Best ever had. Recommend for everyone. Definitely will visit again when in London.,5,5.0,5.0,5.0,5.0,2021-08-02
6,203580,"One of the best restaurants I’ve been to 100%. Best service, best food, literally best everything!",5,5.0,5.0,5.0,5.0,2021-07-10
7,203580,We had a great evening. The service was excellent- foot was delicious and served very fast! Waiters were very helpful and kind and quick to complete multiple orders. <br />We will definitely visit again and recommend to friends!<br />Thank you!,5,5.0,5.0,5.0,5.0,2021-06-19
8,203580,Really amazing restaurant experience. It was my brothers birthday and they made a real fuss of him and had the whole staff singing. Food is such good value really reasonable for central London and the service was excellent.,5,5.0,4.0,5.0,5.0,2021-05-29
9,102474,"A simple menu, well executed with excellent service and an excellent wine and drinks menu. What&#039;s not to love??",4,4.0,5.0,5.0,5.0,2021-08-01
