,id,issue_date,min_age,category,developer,publisher,decription,title,image
0,9N2DMQBN9RC4,2020-12-16T18:00:00.0000000Z,18,Shooter,,Activision Publishing Inc.,"Standard Edition includes:

- Call of Duty®: Black Ops Cold War game
-- Includes Xbox One version of game
-- Plays via backward compatability on Xbox Series X|S
- Confrontation Weapons Pack
- Legendary Captain Price Operator Skin*

The iconic Black Ops series is back with Call of Duty®: Black Ops Cold War - the direct sequel to the original and fan-favorite Call of Duty®: Black Ops.

Black Ops Cold War will drop fans into the depths of the Cold War’s volatile geopolitical battle of the early 1980s. Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe through iconic locales like East Berlin, Vietnam, Turkey, Soviet KGB headquarters and more.

As elite operatives, you will follow the trail of a shadowy figure named Perseus who is on a mission to destabilize the global balance of power and change the course of history. Descend into the dark center of this global conspiracy alongside iconic characters Woods, Mason and Hudson and a new cast of Operatives attempting to stop a plot decades in the making.

Beyond the Campaign, players will bring a Cold War arsenal of weapons and equipment into the next generation of Multiplayer and Zombies experiences.

Welcome to the brink. Welcome to Call of Duty®: Black Ops Cold War.


*All existing owners and future purchasers of Black Ops Cold War will receive the Legendary Captain Price Operator. Buy Black Ops Cold War and log in to receive this free in-game Legendary Operator Skin. Usable in both Black Ops Cold War and Warzone™.

For more information, please visit www.callofduty.com.

© 2020-2021 Activision Publishing, Inc. ACTIVISION, CALL OF DUTY, CALL OF DUTY BLACK OPS and WARZONE are trademarks of Activision Publishing, Inc. All other trademarks and trade names are the property of their respective owners.",Call of Duty®: Black Ops Cold War Xbox,//store-images.s-microsoft.com/image/apps.53295.13958233436121605.1b468d8b-6591-4a41-bbbc-74f5a2da15ae.8b1d6b12-a44f-4746-8baa-61170b6d278b
1,9NVQBQ3F6W9W,2019-10-25T01:00:00.0000000Z,16,Shooter,Infinity Ward,Activision,"Includes:

- Call of Duty®: Modern Warfare®
- Warzone, featuring a Battle Royale mode
- Battle Pass system*
- In-game XRK Weapons Pack
- In-game Tactical Knife

Experience a visceral Campaign or assemble your team in the ultimate online playground with multiple Special Ops challenges, a mix of Multiplayer maps and modes, and the franchise's premiere Battle Pass system.

You also get access to Warzone, the free-to-play experience from Modern Warfare®.

Developed by the studio that started it all, Infinity Ward delivers an epic reimagining of the iconic series from the ground up.

Lock in, level up, and join the ranks with the latest edition of Modern Warfare®. Stay frosty.


*Call of Duty® Points can be used for purchase of the Modern Warfare® Battle Pass.

For more information, please visit www.callofduty.com.

© 2019-2020 Activision Publishing, Inc. ACTIVISION, CALL OF DUTY and MODERN WARFARE are trademarks of Activision Publishing, Inc. All other trademarks and trade names are the properties of their respective owners.",Call of Duty®: Modern Warfare® - Digital Standard Edition Xbox,//store-images.s-microsoft.com/image/apps.1926.68332208580498659.9222b095-8101-4531-b386-33547ee9944f.9fe84d5d-ef45-4807-98c3-d0978ab24399
2,C496CLVXMJP8,2017-12-19T00:00:00.0000000Z,18,Action & adventure,Rockstar North,Rockstar Games,"GRAND THEFT AUTO V: PREMIUM EDITION

The Grand Theft Auto V: Premium Edition includes the complete Grand Theft Auto V story experience, free access to the ever evolving Grand Theft Auto Online and all existing gameplay upgrades and content including The Doomsday Heist, Gunrunning, Smuggler’s Run, Bikers and much more. You’ll also get the Criminal Enterprise Starter Pack, the fastest way to jumpstart your criminal empire in Grand Theft Auto Online.

GRAND THEFT AUTO V
When a young street hustler, a retired bank robber and a terrifying psychopath land themselves in trouble, they must pull off a series of dangerous heists to survive in a city in which they can trust nobody, least of all each other.

GRAND THEFT AUTO ONLINE
Discover an ever-evolving world of choices and ways to play as you climb the criminal ranks of Los Santos and Blaine County in the ultimate shared Online experience.

THE CRIMINAL ENTERPRISE STARTER PACK
The Criminal Enterprise Starter Pack is the fastest way for new GTA Online players to jumpstart their criminal empires with the most exciting and popular content plus $1,000,000 bonus cash to spend in GTA Online - all content valued at over GTA$10,000,000 if purchased separately.

LAUNCH YOUR CRIMINAL EMPIRE
Launch business ventures from your Maze Bank West Executive Office, research powerful weapons technology from your underground Gunrunning Bunker and use your Counterfeit Cash Factory to start a lucrative counterfeiting operation.

A FLEET OF POWERFUL VEHICLES
Tear through the streets with a range of 10 high performance vehicles including a Supercar, Motorcycles, the weaponized Dune FAV, a Helicopter, a Rally Car and more. You’ll also get properties including a 10 car garage to store your growing fleet.

WEAPONS, CLOTHING & TATTOOS
You’ll also get access to the Compact Grenade Launcher, Marksman Rifle and Compact Rifle along with Stunt Racing Outfits, Biker Tattoos and more.",Grand Theft Auto V: Premium Edition Xbox,//store-images.s-microsoft.com/image/apps.2499.66515090704019777.c95568d5-8811-4e30-a0f2-3ac354b35880.3c85e012-ef7a-4ca8-bd82-c3cafbc4b17e
3,9P2Q994ZWB64,2019-06-20T18:00:00.0000000Z,12,Action & adventure,Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,"Online multiplayer only. Requires Xbox Live Gold, sold separately.

Join the fight for the future in the Game Awards’ winner of “Best Ongoing Game.” Take your place in the world of Overwatch and choose your hero from a diverse cast of soldiers, scientists, adventurers, and oddities. Bend time, defy physics, and unleash a dizzying array of extraordinary powers and weapons. Engage your enemies in iconic locations from around the globe in the ultimate team-based shooter.

This download includes:

• The full game

• 5 Legendary Hero Skins

• 5 Epic Hero Skins

• 5 Origin Hero Skins

• And more!",Overwatch® Legendary Edition Xbox,//store-images.s-microsoft.com/image/apps.37187.14553281497432575.4e8710df-0a0b-4813-8d05-490c52019361.32ed4e11-4330-4ce7-b169-eeaa6334a3c6
4,BPQZT43FWD49,2019-03-27T00:00:00.0000000Z,7,Fighting,"Boneloaf, Coatsink",Boneloaf,"Gang Beasts is a silly multiplayer party game with surly gelatinous characters, brutal slapstick fight sequences, and absurd hazardous environments, set in the mean streets of Beef City.

Customize your character and fight local and online enemies in the melee game mode or fight with friends against the gangs of Beef City in the gang game mode.

Gang Beasts is made by Boneloaf, a small independent game studio making a series of experimental multiplayer party games.",Gang Beasts Xbox,//store-images.s-microsoft.com/image/apps.54457.68150164172276526.46add06e-d8d2-4154-81a9-47ac8d3d47a7.0a17dd03-a764-44c3-a91b-1ca93a70bdda
5,C25HZBHK5298,2018-08-31T00:00:00.0000000Z,12,Multi-player Online Battle Arena,Soleil Ltd.,BANDAI NAMCO Entertainment,"Purchase NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition and get the most complete experience from NARUTO TO BORUTO: SHINOBI STRIKER! This edition includes the full NARUTO TO BORUTO: SHINOBI STRIKER game and all additional content eligible to the Season Pass.

The Naruto franchise is back with a brand new experience in NARUTO TO BORUTO: SHINOBI STRIKER! This new game lets gamers battle as a team of 4 to compete against other teams online! Graphically, SHINOBI STRIKER is also built from the ground up in a completely new graphic style. Lead your team and fight online to see who the best ninjas are!",NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition Xbox,//store-images.s-microsoft.com/image/apps.57880.65798081228614849.ce3797c7-9228-498b-a396-452608092c70.d4f350a7-0f6b-49e5-8017-8ecde78ee2a3
6,9N863WLSHZGV,2020-12-16T18:00:00.0000000Z,18,Shooter,,Activision Publishing Inc.,"Buy this digital Xbox One version of Call of Duty®: Black Ops Cold War from the Microsoft Store and download the Xbox Series X|S version at no extra cost.

The Cross-Gen Bundle includes:

- Cross-Gen Bundle of Call of Duty®: Black Ops Cold War game
-- Includes Xbox One and Xbox Series X|S version
- Confrontation Weapons Pack
- Legendary Captain Price Operator Skin*

The iconic Black Ops series is back with Call of Duty®: Black Ops Cold War - the direct sequel to the original and fan-favorite Call of Duty®: Black Ops.

Black Ops Cold War will drop fans into the depths of the Cold War’s volatile geopolitical battle of the early 1980s. Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe through iconic locales like East Berlin, Vietnam, Turkey, Soviet KGB headquarters and more.

As elite operatives, you will follow the trail of a shadowy figure named Perseus who is on a mission to destabilize the global balance of power and change the course of history. Descend into the dark center of this global conspiracy alongside iconic characters Woods, Mason and Hudson and a new cast of Operatives attempting to stop a plot decades in the making.

Beyond the Campaign, players will bring a Cold War arsenal of weapons and equipment into the next generation of Multiplayer and Zombies experiences.

Welcome to the brink. Welcome to Call of Duty®: Black Ops Cold War.


*All existing owners and future purchasers of Black Ops Cold War will receive the Legendary Captain Price Operator. Buy Black Ops Cold War and log in to receive this free in-game Legendary Operator Skin. Usable in both Black Ops Cold War and Warzone™.

For more information, please visit www.callofduty.com.

© 2020-2021 Activision Publishing, Inc. ACTIVISION, CALL OF DUTY, CALL OF DUTY BLACK OPS and WARZONE are trademarks of Activision Publishing, Inc. All other trademarks and trade names are the property of their respective owners.",Call of Duty®: Black Ops Cold War - Cross-Gen Bundle Xbox,//store-images.s-microsoft.com/image/apps.53295.14055557765519709.2a93d74b-3f66-45bd-9a1f-1962a8a351a2.be511f87-0e8f-44b5-8ce4-a63b71c6063d
7,BR7X7MVBBQKM,2018-03-27T00:00:00.0000000Z,16,Shooter,Ubisoft Montreal,Ubisoft,"Far Cry comes to America in the latest installment of the award-winning franchise.

Hope County, Montana, has been overrun by a fanatical doomsday cult – The Project at Eden’s Gate. Upon your arrival, you must spark the fires of resistance to liberate the community. Fan the flames of resistance and fight to free Hope County from the grip of a deadly cult. Beware the wrath of Joseph Seed and his cult followers as you support the resistance in small-town America. Explore Hope County and discover the Montana countryside, its wildlife, and its inhabitants in an exciting open world. Play your way. Build your character, make your own allies, and watch the world change as you progress.",Far Cry® 5 Xbox,//store-images.s-microsoft.com/image/apps.60353.69582963086497758.e1cff2e3-ddf1-42bf-930d-f380ad63f100.d5bd93c9-e392-45da-bb66-dc0b4876aa2b
8,BQ5KC1NMPP8P,2017-12-19T00:00:00.0000000Z,18,Action & adventure,Rockstar North,Rockstar Games,"The Grand Theft Auto V: Premium Edition & Megalodon Shark Card Bundle includes the complete Grand Theft Auto V story experience, free access to the ever evolving Grand Theft Auto Online and all existing gameplay upgrades and content including The Cayo Perico Heist, The Diamond Casino & Resort, The Diamond Casino Heist, Gunrunning and much more. You’ll also get the Criminal Enterprise Starter Pack, the fastest way to jumpstart your criminal empire in Grand Theft Auto Online, plus a Megalodon Shark Cash Card worth $8,000,000 in-game GTA dollars to spend in GTA Online.

GRAND THEFT AUTO V
When a young street hustler, a retired bank robber and a terrifying psychopath land themselves in trouble, they must pull off a series of dangerous heists to survive in a city in which they can trust nobody, least of all each other.

GRAND THEFT AUTO ONLINE
Discover an ever-evolving world of choices and ways to play as you climb the criminal ranks of Los Santos and Blaine County in the ultimate shared Online experience.

THE CRIMINAL ENTERPRISE STARTER PACK
The Criminal Enterprise Starter Pack is the fastest way for new GTA Online players to jumpstart their criminal empires with the most exciting and popular content plus $1,000,000 bonus cash to spend in GTA Online - all content valued at over GTA$10,000,000 if purchased separately.

LAUNCH YOUR CRIMINAL EMPIRE
Launch business ventures from your Maze Bank West Executive Office, research powerful weapons technology from your underground Gunrunning Bunker and use your Counterfeit Cash Factory to start a lucrative counterfeiting operation.

A FLEET OF POWERFUL VEHICLES
Tear through the streets with a range of 10 high performance vehicles including a Supercar, Motorcycles, the weaponized Dune FAV, a Helicopter, a Rally Car and more. You’ll also get properties including a 10 car garage to store your growing fleet.

WEAPONS, CLOTHING & TATTOOS
You’ll also get access to the Compact Grenade Launcher, Marksman Rifle and Compact Rifle along with Stunt Racing Outfits, Biker Tattoos and more.",Grand Theft Auto V: Premium Edition & Megalodon Shark Card Bundle Xbox,//store-images.s-microsoft.com/image/apps.42374.68390719155753798.4e264ef5-99a9-424f-b896-6637425c7455.90ad2d5b-f76e-4386-b730-1caf61cc7b41
9,9PNF5J31C36N,2021-04-20T04:00:00.0000000Z,0,Sports,San Diego Studio (Sony Interactive Entertainment America),MLB,"This edition includes:
MLB® The Show 21™ Xbox™ One
5K Stubs™

OWN THE SHOW
 
 Experience faster, deeper and more intense moment-to-moment match action on the field, with a variety of game modes for all you rookie players and returning seasoned vets. 

 • Lead your Ballplayer to Road to the Show and Diamond Dynasty glory as a two-way star.
 • Enjoy revamped Franchise and March to October modes, with easy onboarding and tools.
 • Face your friends on PlayStation 4™ or PlayStation 5™ with cross-platform play*
 • Play as all-new Legends.",MLB® The Show™ 21 Xbox™ One Standard Edition Xbox,//store-images.s-microsoft.com/image/apps.36810.14350179064103627.2d401028-2fb6-4d84-9851-fe45e1ad6c35.88c36646-af4c-44ec-8e82-b1009f3b0a4d
