name,name_en,logo,rating,city,district,gender,category,min fee
مدارس عصر المواهب العالمية,Talent Era International School,https://storage.yaschools.com/source/school/logos/gSQVtgLGjZ3BL9zvK1QDkgYY4UF_Vm3Z.jpg,2.5,عسير,خميس مشيط,بنين,عالمية,0
مدرسة طلائع المستقبل العالمية  - خميس مشيط,Future Vanguard International School,https://storage.yaschools.com/source/school/logos/0U7cqSF77LU2BCkNmGCCp1cid2pJmMBH.jpg,3,عسير,خميس مشيط,بنات,عالمية,0
مدرسة ابها العالمية,Abha International School,https://storage.yaschools.com/source/school/logos/hW4s6jtCklfT1cbJwZ51s6evZY7cvQdb.jpg,3.2,عسير,ابها,بنين وبنات,عالمية,0
مدارس الجنوب العالمية,Al Janaub International Schoo-l Khamis mushayt,https://storage.yaschools.com/source/school/logos/qFMTKwgY0rSigfSR-Gkq_2cY2Z6YGHOL.png,2.5,عسير,خميس مشيط,بنين وبنات,عالمية,0
مدارس الوادي المشمس العالمية,Sunny Valley International School,https://storage.yaschools.com/source/school/logos/5rmKPqtBoKia7bN4zMc_BJ-EEqogVivv.jpg,2.5,عسير,خميس مشيط,بنين وبنات,عالمية,6 ألف
مدرسة تهامة العالمية,Tuhama International School,https://storage.yaschools.com/source/school/logos/zmBP_8GVnl9-5WVR9e33Mke6EnmJD8xL.png,2.5,عسير,خميس مشيط,بنين,عالمية,0
مدارس ابها الأهلية,Abha private schools,https://storage.yaschools.com/source/school/logos/t1XjLR67gTI92qYmWsbEg0ss0Nt9e-TQ.png,5,عسير,ابها,بنين وبنات,أهلية,0
مدرسة طلائع المستقبل العالمية - ابها,Future v. international schools - Abha,https://storage.yaschools.com/source/school/logos/qoj1Jn4FdXaQVQXqBNlsJJyFBjx0kw6A.png,5,عسير,ابها,بنين وبنات,عالمية,0
روضة بناء العقول الاهلية,Benaa Alokqool National School,https://storage.yaschools.com/source/school/logos/jkTu7rceMeFE_HWWK4BV3lmCnTweJiHT.jpg,2.5,عسير,ابها,بنين وبنات,أهلية,0
مدارس خصال العلم العالمية,Science Qualities International Schools,https://storage.yaschools.com/source//1/Y9snbODUuR0m_ZsMr8IuM2BIKK4UwUOd.jpg,2.5,عسير,خميس مشيط,بنين وبنات,عالمية,0
مدرسة دوحة المعرفة الأهلية,Dawhat Almarefah National school,https://storage.yaschools.com/source//1/yMIUWu8b5O6caWJ7KcfJpYvTCOUVlWhi.jpg,2.5,عسير,ابها,بنين وبنات,أهلية,0
مدرسة اجيال عسير العالمية,.Ajial Aseer international School,https://storage.yaschools.com/source//1/YZqKhQDLxk-5NPM7Bx8uX-5DveizAUQD.jpg,2.5,عسير,خميس مشيط,بنات,عالمية,0
مدارس رائد الطفولة الأهلية,Raed Nursery School - Aseer,https://storage.yaschools.com/source//1/6SDTzSsa68-6XpEN3dzkybxWjKX1X_74.jpg,2.5,عسير,خميس مشيط,بنات,أهلية,2 ألف
مدارس صرح الواحة الأهلية,Sarh Alwaha school,https://storage.yaschools.com/source//1/GX129Jgsuq5Oa85PnlJd6U-eJZQ8DJNk.jpg,2.5,عسير,خميس مشيط,بنات,أهلية,0
مدرسة كواكب المستقبل الاهلية,Future Planets National School,https://storage.yaschools.com/source//1/JGi6PUm1xtxedT1YmpuLvII_Vg4WwpqE.jpg,2.5,عسير,ابها,بنات,أهلية,0
